id,question_text,answer,skill,difficulty,question_type,choices
539,Solve: 4y - 12 = 8,y = 5,Algebraic Solving,medium,multiple_choice,y = 5|y = 20|y = 2|y = -1
540,Solve: 5(x - 3) = 2x + 6,x = 7,Algebraic Solving,hard,algebra,
541,Name an angle less than 90°,acute angle,Angles - Acute,easy,fill_in_one,
542,Which could be an acute angle measure?,72°,Angles - Acute,medium,multiple_choice,72°|90°|135°|180°
543,In triangle ABC angle A = 2x° where x = 25. If the triangle is acute what can you conclude about angles B and C?,Both are less than 90° and B + C = 130°,Angles - Acute,hard,algebra,
544,An obtuse angle is between ___ and ___ degrees,90 and 180,Angles - Obtuse,easy,fill_in_one,
545,Which angle is obtuse?,105°,Angles - Obtuse,medium,multiple_choice,105°|75°|90°|45°
546,If angle XYZ = (3x - 10)° and is obtuse find a possible value of x,x > 33.33,Angles - Obtuse,hard,algebra,
547,A right angle forms the corner of a ___,square,Angles - Right,easy,fill_in_one,
548,How many right angles are in a rectangle?,4,Angles - Right,medium,multiple_choice,4|2|1|8
549,If two angles are complementary and one is a right angle what is the other?,0°,Angles - Right,hard,algebra,
550,When parallel lines are cut by a transversal corresponding angles are ___,equal,Angles on Parallel Lines Cut by a Transversal,medium,fill_in_one,
551,If parallel lines are cut by a transversal and one angle is 110° what is the corresponding angle?,110°,Angles on Parallel Lines Cut by a Transversal,hard,multiple_choice,110°|70°|90°|180°
552,Two parallel lines are cut by a transversal. One interior angle is 75°. Find an alternate interior angle,75°,Angles on Parallel Lines Cut by a Transversal,hard,algebra,
553,A circle with radius 7 has area ___,49π,Area Circle,easy,fill_in_one,
554,Find the area of a circle with diameter 12,36π,Area Circle,medium,multiple_choice,36π|144π|12π|24π
555,If a circle's area is 25π what is its radius?,5,Area Circle,hard,algebra,
556,Find the area of a rectangle 15 by 8,120,Area Rectangle,easy,fill_in_one,
557,A rectangle has area 84 and length 12. What is its width?,7,Area Rectangle,medium,multiple_choice,7|96|72|1008
558,The area of a rectangle is (x + 3)(x - 2). If x = 6 find the area,36,Area Rectangle,hard,algebra,
559,Find the area of a triangle with base 14 and height 10,70,Area Triangle,easy,fill_in_one,
560,What is the area of a triangle with vertices at (0 0) (6 0) and (3 4)?,12,Area Triangle,hard,multiple_choice,12|24|6|18
561,An equilateral triangle has side length s. If its height is (s√3)/2 find the area,(s²√3)/4,Area Triangle,hard,algebra,
562,A parallelogram has base 9 and height 6. Find its area,54,Area Parallelogram,medium,fill_in_one,
563,What is the area of a parallelogram with base 2x and height (x + 1)?,2x(x + 1),Area Parallelogram,hard,multiple_choice,2x(x + 1)|2x + x + 1|3x + 1|x² + x
564,A parallelogram has the same base and height as a rectangle. How do their areas compare?,They are equal,Area Parallelogram,hard,algebra,
565,Find the area of a trapezoid with bases 8 and 12 and height 5,50,Area Trapezoid,medium,fill_in_one,
566,A trapezoid has parallel sides 6 and 10 and height 7. What is its area?,56,Area Trapezoid,hard,multiple_choice,56|42|112|16
567,The area of a trapezoid is 45. If the height is 6 and one base is 5 find the other base,10,Area Trapezoid,hard,algebra,
568,A composite figure has a rectangle (6×4) attached to a triangle (base 6 height 3). Find the total area,33,Area Irregular Figure,medium,fill_in_one,
569,What is the area of a figure made from a square (side 8) with a semicircle (radius 4) removed?,64 - 8π,Area Irregular Figure,hard,multiple_choice,64 - 8π|64 + 8π|32 - 8π|72π
570,Find the area of an L-shaped region formed by a 10×8 rectangle with a 4×3 rectangle removed,68,Area Irregular Figure,hard,algebra,
571,In a box plot the median is shown by the ___ inside the box,line,Box and Whisker,medium,fill_in_one,
572,What does the length of the box in a box plot represent?,Interquartile range (IQR),Box and Whisker,hard,multiple_choice,Interquartile range (IQR)|Range|Standard deviation|Mean
573,Given data: 2 5 7 8 10 12 15 18 20. Create a box plot. What is Q1?,6,Box and Whisker,hard,algebra,
574,Use order of operations: 3 + 4 × 5,23,Calculation with + - * /,easy,fill_in_one,
575,What is (8 + 2) × 3 - 4?,26,Calculation with + - * /,medium,multiple_choice,26|34|18|6
576,Calculate: 36 ÷ 4 + 2 × 3 - 5,10,Calculation with + - * /,hard,algebra,
577,Two similar figures have perimeter ratio 3:4. What is the ratio of their areas?,9:16,Calculations with Similar Figures,medium,fill_in_one,
578,Similar triangles have area ratio 4:9. What is the ratio of corresponding sides?,2:3,Calculations with Similar Figures,hard,multiple_choice,2:3|4:9|1:2|8:18
579,Two similar rectangles have areas 20 and 45. If the smaller has length 4 find the length of the larger,6,Calculations with Similar Figures,hard,algebra,
580,Which equation represents: Five less than a number is 12?,x - 5 = 12,Choose an Equation from Given Information,easy,fill_in_one,
581,Choose the equation: The product of 4 and a number plus 7 equals 31,4x + 7 = 31,Choose an Equation from Given Information,medium,multiple_choice,4x + 7 = 31|4(x + 7) = 31|4x - 7 = 31|7x + 4 = 31
582,Write an equation: Half a number decreased by 3 is equal to the number plus 1,x/2 - 3 = x + 1,Choose an Equation from Given Information,hard,algebra,
583,If a circle graph represents 240 students and sports takes up 60° how many students chose sports?,40,Circle Graph,easy,fill_in_one,
584,A pie chart shows reading 120° math 90° science 60° art 90°. What fraction chose math?,1/4,Circle Graph,medium,multiple_choice,1/4|1/3|1/2|2/3
585,In a circle graph if 25% represents music what is the central angle for music?,90°,Circle Graph,hard,algebra,
586,Find the circumference of a circle with radius 8,16π,Circumference,easy,fill_in_one,
587,A circular track has diameter 200 meters. What is its circumference?,200π meters,Circumference,medium,multiple_choice,200π meters|100π meters|400π meters|40000π meters
588,If a wheel has circumference 88 inches what is its radius?,14 inches,Circumference,hard,algebra,
589,In 8x³ - 5x² + 2x - 1 the coefficient of x³ is ___,8,Coefficient,easy,fill_in_one,
590,What is the coefficient of the y term in 3x² + 7y - 4?,7,Coefficient,medium,multiple_choice,7|3|-4|2
591,Find the coefficient of ab in the expansion of (a + 2b)(3a - b),-3,Coefficient,hard,algebra,
592,How many ways can 4 people sit in a row?,24,Combinatorics,medium,fill_in_one,
593,In how many ways can you select 3 books from 7?,35,Combinatorics,hard,multiple_choice,35|21|210|5040
594,A pizza shop offers 8 toppings. How many ways can you choose 3?,56,Combinatorics,hard,algebra,
595,Simplify: 6x - 2x + 4x,8x,Combining Like Terms,easy,fill_in_one,
596,Which equals 7a + 3b - 2a + 5b?,5a + 8b,Combining Like Terms,medium,multiple_choice,5a + 8b|9a + 8b|5a + 2b|7a + 8b
597,Combine: 3x² - 5x + 2 + x² + 3x - 7,4x² - 2x - 5,Combining Like Terms,hard,algebra,
598,Which property is shown: 5 + 8 = 8 + 5?,Commutative Property,Commutative Property,easy,fill_in_one,
599,The commutative property works for which operations?,Addition and multiplication,Commutative Property,medium,multiple_choice,Addition and multiplication|All four operations|Addition and subtraction|Multiplication and division
600,If a × b = b × a which property is demonstrated?,Commutative Property,Commutative Property,hard,algebra,
601,If two angles sum to 90° they are ___,complementary,Complementary and Supplementary Angles,easy,fill_in_one,
602,One angle is 38°. What is its complement?,52°,Complementary and Supplementary Angles,medium,multiple_choice,52°|142°|322°|90°
603,Two supplementary angles have ratio 5:4. Find both angles,100° and 80°,Complementary and Supplementary Angles,hard,algebra,
604,If f(x) = x - 3 and g(x) = 2x + 1 find (f + g)(2),3,Composition of Function Adding,medium,fill_in_one,
605,Given h(x) = x² and k(x) = 3x what is (h + k)(x)?,x² + 3x,Composition of Function Adding,hard,multiple_choice,x² + 3x|3x²|x² + 3|4x²
606,If f(x) = 2x - 5 and g(x) = x + 3 evaluate (f + g)(4),9,Composition of Function Adding,hard,algebra,
607,$500 invested at 8% compounded annually becomes what after 1 year?,$540,Compound Interest,medium,fill_in_one,
608,What is the compound interest formula?,A = P(1 + r)ᵗ,Compound Interest,hard,multiple_choice,A = P(1 + r)ᵗ|A = Prt|A = P + rt|A = P(1 + rt)
609,$1200 at 5% compounded annually for 3 years becomes what amount?,$1389.15,Compound Interest,hard,algebra,
610,Calculate: 5 - 3 × 2 + 8,-1,Computation with Real Numbers,easy,fill_in_one,
611,What is √25 - √9?,2,Computation with Real Numbers,medium,multiple_choice,2|8|4|16
612,Simplify: 3√12 + √27,9√3,Computation with Real Numbers,hard,algebra,
613,Congruent figures have the same ___ and ___,shape and size,Congruence,easy,fill_in_one,
614,If triangle ABC ≅ triangle DEF and angle A = 50° what is angle D?,50°,Congruence,medium,multiple_choice,50°|130°|40°|90°
615,Two congruent circles have the same ___,radius,Congruence,hard,algebra,
616,Express 5/8 as a decimal,0.625,Conversion of Fraction Decimals Percents,easy,fill_in_one,
617,What is 0.4 as a fraction in lowest terms?,2/5,Conversion of Fraction Decimals Percents,medium,multiple_choice,2/5|4/10|40/100|4/5
618,Convert 1.875 to a mixed number,1 7/8,Conversion of Fraction Decimals Percents,hard,algebra,
619,A lock has 3 digits each from 0-9. How many possible combinations?,1000,Counting Methods,medium,fill_in_one,
620,How many 2-letter codes can be formed from 5 letters if repetition is allowed?,25,Counting Methods,hard,multiple_choice,25|10|20|125
621,In how many ways can 6 students be arranged in 3 chairs?,120,Counting Methods,hard,algebra,
622,Pi represents the ratio of ___,circumference to diameter,Definition Pi,easy,fill_in_one,
623,Which is closest to the value of π?,22/7,Definition Pi,medium,multiple_choice,22/7|3|4|25/8
624,If a circle has circumference C what is its area in terms of C?,C²/(4π),Definition Pi,hard,algebra,
625,Distribute: 4(x + 5),4x + 20,Distributive Property,easy,fill_in_one,
626,What is 3(2a - 7)?,6a - 21,Distributive Property,medium,multiple_choice,6a - 21|5a - 4|6a - 7|3a - 21
627,Expand: (x + 2)(y - 3),xy - 3x + 2y - 6,Distributive Property,hard,algebra,
628,A number divisible by 5 ends in ___,0 or 5,Divisibility Rules,easy,fill_in_one,
629,Which number is divisible by 6?,48,Divisibility Rules,medium,multiple_choice,48|49|50|47
630,Test if 1428 is divisible by 4,Yes,Divisibility Rules,hard,algebra,
631,What is 5/6 ÷ 2/3?,5/4,Division Fractions,medium,fill_in_one,
632,Calculate: 3/8 ÷ 3/4,1/2,Division Fractions,hard,multiple_choice,1/2|9/32|1/8|2
633,Solve: 2/3 ÷ x = 4,x = 1/6,Division Fractions,hard,algebra,
634,Calculate: 168 ÷ 14,12,Division Whole Numbers,easy,fill_in_one,
635,What is 4536 ÷ 72?,63,Division Whole Numbers,medium,multiple_choice,63|72|64|4608
636,If 17y = 391 find y,23,Division Whole Numbers,hard,algebra,
637,If a shape is scaled by factor 3 its area is multiplied by ___,9,Effect of Changing Dimensions of a Shape Proportionally,medium,fill_in_one,
638,When all dimensions of a rectangular prism are halved what happens to its volume?,It becomes 1/8 the original,Effect of Changing Dimensions of a Shape Proportionally,hard,multiple_choice,It becomes 1/8 the original|It becomes 1/4 the original|It becomes 1/2 the original|It stays the same
639,A square's side length increases by 20%. By what percent does its area increase?,44%,Effect of Changing Dimensions of a Shape Proportionally,hard,algebra,
640,1 kilometer = ___ meters,1000,English and Metric Terminology,easy,fill_in_one,
641,How many feet are in 2 yards?,6,English and Metric Terminology,medium,multiple_choice,6|2|4|24
642,Convert 3 gallons to quarts,12 quarts,English and Metric Terminology,hard,algebra,
643,In an equation both sides must be ___,equal,Equal As Balance Concept,easy,fill_in_one,
644,If you add 5 to one side of an equation what must you do to the other side?,Add 5,Equal As Balance Concept,medium,multiple_choice,Add 5|Subtract 5|Multiply by 5|Divide by 5
645,Solve: x + 7 = 15 using the balance concept,x = 8,Equal As Balance Concept,hard,algebra,
646,Solve: 5x = 35,x = 7,Equation Solving Two or Fewer Steps,easy,fill_in_one,
647,What is the solution to x/4 = 12?,x = 48,Equation Solving Two or Fewer Steps,medium,multiple_choice,x = 48|x = 3|x = 16|x = 8
648,Solve: 2y - 7 = 13,y = 10,Equation Solving Two or Fewer Steps,hard,algebra,
649,Solve: 2(x + 3) = 16,x = 5,Equation Solving More Than Two Steps,medium,fill_in_one,
650,What is x in 3x - 2(x - 4) = 15?,x = 7,Equation Solving More Than Two Steps,hard,multiple_choice,x = 7|x = 23|x = 3|x = -7
651,Solve: 4(2x - 1) + 3x = 29,x = 3,Equation Solving More Than Two Steps,hard,algebra,
652,What fraction is equivalent to 4/6?,2/3,Equivalent Fractions,easy,fill_in_one,
653,Which fraction equals 15/20?,3/4,Equivalent Fractions,medium,multiple_choice,3/4|4/3|15/20|20/15
654,Find a fraction equivalent to 7/21 with denominator 9,3/9,Equivalent Fractions,hard,algebra,
655,Estimate: 52 + 29,80,Estimation,easy,fill_in_one,
656,Which is the best estimate for 4.8 × 3.2?,15,Estimation,medium,multiple_choice,15|8|35|12
657,Estimate the quotient: 487 ÷ 19,25,Estimation,hard,algebra,
658,Write 5246 in expanded form,5000 + 200 + 40 + 6,Expanded,easy,fill_in_one,
659,What is the expanded form of 8.07?,8 + 0.07,Expanded,medium,multiple_choice,8 + 0.07|8 + 0.7|80 + 7|800 + 7
660,Express 6.205 in expanded notation,6 + 0.2 + 0.005,Expanded,hard,algebra,
661,Calculate: 4²,16,Exponent,easy,fill_in_one,
662,What is 3⁴?,81,Exponent,medium,multiple_choice,81|12|64|27
663,Evaluate: 2⁵ - 2³,24,Exponent,hard,algebra,
664,Simplify: a⁴ × a²,a⁶,Exponents,medium,fill_in_one,
665,What is (x³)⁴?,x¹²,Exponents,hard,multiple_choice,x¹²|x⁷|x³⁴|x⁶⁴
666,Simplify: (2m²n³)³,8m⁶n⁹,Exponents,hard,algebra,
667,Factor: x² + 8x + 15,(x + 3)(x + 5),Factoring Trinomials,medium,fill_in_one,
668,What is the factored form of x² - 9x + 20?,(x - 4)(x - 5),Factoring Trinomials,hard,multiple_choice,(x - 4)(x - 5)|(x + 4)(x + 5)|(x - 10)(x + 2)|(x - 1)(x - 20)
669,Factor completely: 3x² + 12x + 12,3(x + 2)²,Factoring Trinomials,hard,algebra,
670,For y = -x² + 6x - 5 find the maximum y-value,4,Finding Max and Min from a Quadratic Equation,hard,fill_in_one,
671,What is the vertex of y = x² + 4x + 1?,(-2 -3),Finding Max and Min from a Quadratic Equation,hard,multiple_choice,(-2 -3)|(2 13)|(4 1)|(-4 1)
672,Find the minimum value of f(x) = 2x² - 8x + 3,-5,Finding Max and Min from a Quadratic Equation,hard,algebra,
673,What is 50% of 60?,30,Finding Percents,easy,fill_in_one,
674,Calculate 12% of 150,18,Finding Percents,medium,multiple_choice,18|12|138|1800
675,If 40% of a number is 32 what is the number?,80,Finding Percents,hard,algebra,
676,Simplify the ratio 20:30,2:3,Finding Ratios,easy,fill_in_one,
677,What is the ratio 45:18 in simplest form?,5:2,Finding Ratios,medium,multiple_choice,5:2|9:18|45:18|2:5
678,In a class the ratio of boys to girls is 3:4. If there are 21 boys how many girls are there?,28,Finding Ratios,hard,algebra,
679,What is the slope of y = -2x + 7?,-2,Finding Slope From Equation,easy,fill_in_one,
680,Find the slope of 3x + 2y = 10,-3/2,Finding Slope From Equation,medium,multiple_choice,-3/2|3/2|-2/3|2/3
681,Determine the slope of x - 4y = 8,1/4,Finding Slope From Equation,hard,algebra,
682,A plane ascends 2000 feet in 5 minutes. What is the rate of ascent?,400 feet per minute,Finding Slope From Situation,easy,fill_in_one,
683,Gas costs $45 for 15 gallons. What is the price per gallon?,$3 per gallon,Finding Slope From Situation,medium,multiple_choice,$3 per gallon|$30 per gallon|$45 per gallon|$0.33 per gallon
684,A candle burns 2 inches every 3 hours. Express as a unit rate,2/3 inch per hour,Finding Slope From Situation,hard,algebra,
685,Find the slope through (1 2) and (5 10),2,Finding Slope from Ordered Pairs,medium,fill_in_one,
686,What is the slope between (-3 1) and (2 6)?,1,Finding Slope from Ordered Pairs,hard,multiple_choice,1|-1|5/5|5
687,Calculate the slope through (4 -2) and (7 1),1,Finding Slope from Ordered Pairs,hard,algebra,
688,A line passes through (0 2) and (4 6). What is its slope?,1,Finding Slope from Graph,medium,fill_in_one,
689,From the graph if a line goes through (-2 1) and (2 5) what is the slope?,1,Finding Slope from Graph,hard,multiple_choice,1|2|1/2|-1
690,A line has slope 2/3 and passes through (3 4). Find its equation,y = (2/3)x + 2,Finding Slope from Graph,hard,algebra,
691,What fraction of 1 hour is 15 minutes?,1/4,Finding fractions and ratios,easy,fill_in_one,
692,Express the ratio 8:12 as a fraction in lowest terms,2/3,Finding fractions and ratios,medium,multiple_choice,2/3|8/12|4/6|12/8
693,Of 30 students 18 have brown eyes. What fraction have brown eyes?,3/5,Finding fractions and ratios,hard,algebra,
694,What is the y-intercept of y = 3x - 4?,-4,Finding y-intercept from Linear Equation,easy,fill_in_one,
695,Find the y-intercept of 2x - y = 5,-5,Finding y-intercept from Linear Equation,medium,multiple_choice,-5|5|2|-2
696,Determine the y-intercept of 4x + 3y = 12,4,Finding y-intercept from Linear Equation,hard,algebra,
697,A cell phone plan costs $30 plus $0.05 per minute. What does the 30 represent?,Fixed monthly cost,Finding y-intercept from Linear Situation,medium,fill_in_one,
698,A spring is 10 cm long and stretches 2 cm per kg of weight. In y = 2x + 10 what does 10 represent?,Original length,Finding y-intercept from Linear Situation,hard,multiple_choice,Original length|Weight|Stretch rate|Final length
699,Car rental is $25 per day plus $0.20 per mile. Write the equation and identify the y-intercept,y = 0.20x + 25; y-intercept is 25,Finding y-intercept from Linear Situation,hard,algebra,
700,Find 2/5 of 25,10,Fraction Of,easy,fill_in_one,
701,What is 3/8 of 48?,18,Fraction Of,medium,multiple_choice,18|16|14|384
702,Calculate 7/12 of 84,49,Fraction Of,hard,algebra,
703,Two intersecting lines form ___,four angles,Geometric Definitions,easy,fill_in_one,
704,What is a quadrilateral with four right angles called?,Rectangle,Geometric Definitions,medium,multiple_choice,Rectangle|Square|Parallelogram|Rhombus
705,Define perpendicular lines,Lines that intersect at right angles,Geometric Definitions,hard,algebra,
706,The graph of y = x³ is shaped like an ___,S-curve,Graph Shape,medium,fill_in_one,
707,Which equation graphs as a hyperbola?,y = 1/x,Graph Shape,hard,multiple_choice,y = 1/x|y = x²|y = x|y = √x
708,What shape does the equation x² + y² = 25 represent?,Circle,Graph Shape,hard,algebra,
709,When graphing x > 5 use a ___ circle at 5,open,Graphing Inequalities on a number line,medium,fill_in_one,
710,Graph x ≤ -1. The arrow points ___,left,Graphing Inequalities on a number line,hard,multiple_choice,left|right|up|down
711,Solve and graph: 3x - 6 ≥ 9,x ≥ 5,Graphing Inequalities on a number line,hard,algebra,
712,Find GCF of 18 and 24,6,Greatest Common Factor,easy,fill_in_one,
713,What is the GCF of 45 and 60?,15,Greatest Common Factor,medium,multiple_choice,15|5|9|180
714,Find the GCF of 84 126 and 168,42,Greatest Common Factor,hard,algebra,
715,What do the bars in a histogram represent?,Frequency of data intervals,Histogram as Table or Graph,easy,fill_in_one,
716,In a histogram with intervals 0-10 11-20 21-30 where would 15 be counted?,11-20 interval,Histogram as Table or Graph,medium,multiple_choice,11-20 interval|0-10 interval|21-30 interval|15 interval
717,A histogram shows test scores: 60-69 (3 students) 70-79 (7 students) 80-89 (12 students). How many students scored below 80?,10,Histogram as Table or Graph,hard,algebra,
718,Where does the line y = 3x + 6 cross the y-axis?,(0 6),Intercept,easy,fill_in_one,
719,Find both intercepts of y = -2x + 8,x-intercept: (4 0) y-intercept: (0 8),Intercept,medium,multiple_choice,x-intercept: (4 0) y-intercept: (0 8)|x-intercept: (0 4) y-intercept: (8 0)|x-intercept: (-4 0) y-intercept: (0 -8)|x-intercept: (8 0) y-intercept: (0 4)
720,For the line 5x - 2y = 20 find where it crosses both axes,x-intercept: (4 0) y-intercept: (0 -10),Intercept,hard,algebra,
721,A regular octagon has interior angle sum of ___°,1080,Interior Angles Figures with More than 3 Sides,medium,fill_in_one,
722,What is each interior angle of a regular nonagon (9 sides)?,140°,Interior Angles Figures with More than 3 Sides,hard,multiple_choice,140°|160°|135°|144°
723,A polygon has interior angle sum 1440°. How many sides does it have?,10,Interior Angles Figures with More than 3 Sides,hard,algebra,
724,In triangle ABC if angle A = 70° and angle B = 60° find angle C,50°,Interior Angles Triangle,easy,fill_in_one,
725,A triangle has angles in ratio 2:3:4. Find the largest angle,80°,Interior Angles Triangle,medium,multiple_choice,80°|90°|60°|40°
726,In triangle PQR angle P = x° angle Q = 2x° angle R = 3x°. Find x,30,Interior Angles Triangle,hard,algebra,
727,If f(x) = 4x - 1 what is f⁻¹(x)?,f⁻¹(x) = (x + 1)/4,Inverse Relations,hard,fill_in_one,
728,What is the inverse of the function y = 2x + 6?,y = (x - 6)/2,Inverse Relations,hard,multiple_choice,y = (x - 6)/2|y = -2x - 6|y = 1/(2x + 6)|y = (6 - x)/2
729,Find the inverse of g(x) = (x - 3)/5,g⁻¹(x) = 5x + 3,Inverse Relations,hard,algebra,
730,LCM of 4 and 6 is ___,12,Least Common Multiple,easy,fill_in_one,
731,What is the LCM of 8 and 12?,24,Least Common Multiple,medium,multiple_choice,24|4|96|20
732,Find LCM of 15 20 and 25,300,Least Common Multiple,hard,algebra,
733,In a line plot each symbol represents ___,one data value,Line Plot,easy,fill_in_one,
734,A line plot shows X marks above numbers. What does a column of 4 X's mean?,Four occurrences of that value,Line Plot,medium,multiple_choice,Four occurrences of that value|The value is 4|Four different values|The total is 4
735,Make a line plot for data: 5 5 6 7 7 7 8. How many X's are above 7?,3,Line Plot,hard,algebra,
736,How many lines of symmetry does an equilateral triangle have?,3,Line Symmetry,medium,fill_in_one,
737,Which letter has exactly one line of symmetry?,A,Line Symmetry,hard,multiple_choice,A|O|H|I
738,A regular hexagon has ___ lines of symmetry,6,Line Symmetry,hard,algebra,
739,A line of best fit is used to show ___,trends in data,Line of Best-Fit,medium,fill_in_one,
740,If data points have positive correlation the line of best fit ___,slopes upward,Line of Best-Fit,hard,multiple_choice,slopes upward|slopes downward|is horizontal|is vertical
741,Using line y = 1.5x + 2 predict y when x = 8,14,Line of Best-Fit,hard,algebra,
742,The equation y = mx + b represents a ___,linear equation,Linear Equations,easy,fill_in_one,
743,Which equation is NOT linear?,y = x²,Linear Equations,medium,multiple_choice,y = x²|y = 2x + 1|y = -3x|y = 5
744,Write the linear equation with slope -3 and y-intercept 8,y = -3x + 8,Linear Equations,hard,algebra,
745,1 cubic meter = ___ cubic centimeters,1000000,Linear area volume conversion,medium,fill_in_one,
746,How many square feet are in 3 square yards?,27,Linear area volume conversion,hard,multiple_choice,27|9|36|81
747,Convert 2.5 cubic feet to cubic inches,4320 cubic inches,Linear area volume conversion,hard,algebra,
748,Find the mean of 6 8 10 12 14,10,Mean,easy,fill_in_one,
749,The average of 25 35 40 50 is ___,37.5,Mean,medium,multiple_choice,37.5|150|30|40
750,Five test scores average 88. If four scores are 85 90 87 92 find the fifth,86,Mean,hard,algebra,
751,Which measure is the average?,Mean,Mean-Median-Mode-Range Differentiation,medium,fill_in_one,
752,For data 1 3 3 7 9 which is largest?,Range,Mean-Median-Mode-Range Differentiation,hard,multiple_choice,Range|Mean|Median|Mode
753,Data: 2 4 6 6 8 12. Find mean - median,1,Mean-Median-Mode-Range Differentiation,hard,algebra,
754,Find the median of 4 7 9 11 15 18,10,Median,easy,fill_in_one,
755,What is the median of 1 3 7 8 10?,7,Median,medium,multiple_choice,7|5.8|29|8
756,For the dataset 12 15 18 x 25 30 if the median is 19.5 find x,21,Median,hard,algebra,
757,The mode of 3 5 5 7 8 8 8 9 is ___,8,Mode,easy,fill_in_one,
758,What is the mode of 12 15 12 18 12 20?,12,Mode,medium,multiple_choice,12|15|20|No mode
759,A dataset with two modes is called ___,bimodal,Mode,hard,algebra,
760,Which expression is a monomial?,7x⁴,Monomial,easy,fill_in_one,
761,How many terms does a monomial have?,1,Monomial,medium,multiple_choice,1|2|3|0
762,What is the degree of -5x²y³z?,6,Monomial,hard,algebra,
763,Calculate 3/5 × 4/7,12/35,Multiplication Fractions,easy,fill_in_one,
764,What is 2/3 × 9/4?,3/2,Multiplication Fractions,medium,multiple_choice,3/2|6/7|18/12|11/7
765,Solve 5/8 × x = 15/16,x = 3/2,Multiplication Fractions,hard,algebra,
766,Calculate 34 × 26,884,Multiplication Whole Numbers,easy,fill_in_one,
767,What is 125 × 48?,6000,Multiplication Whole Numbers,medium,multiple_choice,6000|5000|6250|173
768,If 14m = 588 find m,42,Multiplication Whole Numbers,hard,algebra,
769,Calculate (-6) × (-9),54,Multiplication and Division Integers,easy,fill_in_one,
770,What is 48 ÷ (-8)?,-6,Multiplication and Division Integers,medium,multiple_choice,-6|6|-56|56
771,Solve -7n = 91,n = -13,Multiplication and Division Integers,hard,algebra,
772,Calculate 4.2 × 3.1,13.02,Multiplication and Division Positive Decimals,easy,fill_in_one,
773,What is 15.6 ÷ 1.2?,13,Multiplication and Division Positive Decimals,medium,multiple_choice,13|18.72|14.4|1.3
774,If 2.5y = 17.5 find y,7,Multiplication and Division Positive Decimals,hard,algebra,
775,Multiply (4x³) × (2x⁵),8x⁸,Multiplying Monomials,medium,fill_in_one,
776,What is (-3a²b) × (5ab³)?,-15a³b⁴,Multiplying Monomials,hard,multiple_choice,-15a³b⁴|15a³b⁴|-15a²b³|15a²b³
777,Simplify (2xy³) × (-4x²y) × (3y²),-24x³y⁶,Multiplying Monomials,hard,algebra,
778,Expand (x + 4)(x - 2),x² + 2x - 8,Multiplying non Monomial Polynomials,medium,fill_in_one,
779,What is (3x - 2)(2x + 5)?,6x² + 11x - 10,Multiplying non Monomial Polynomials,hard,multiple_choice,6x² + 11x - 10|6x² - 11x - 10|6x² + 19x - 10|5x² + 11x - 10
780,Multiply (x - 3)(x² + 2x - 4),x³ - x² - 10x + 12,Multiplying non Monomial Polynomials,hard,algebra,
781,How many squares are in a cube's net?,6,Nets of 3D Figures,easy,fill_in_one,
782,A triangular pyramid's net has how many triangular faces?,4,Nets of 3D Figures,medium,multiple_choice,4|3|5|6
783,What 3D shape has a net with 2 circles and 1 rectangle?,Cylinder,Nets of 3D Figures,hard,algebra,
784,Which number comes first on a number line: -2 or 1?,-2,Number Line,easy,fill_in_one,
785,What is the distance between -5 and 3 on a number line?,8,Number Line,medium,multiple_choice,8|2|-2|-8
786,On a number line point A is at -4 and point B is 7 units to the right. Where is B?,3,Number Line,hard,algebra,
787,Calculate 6 + 2 × 4 - 1,13,Order of Operations,easy,fill_in_one,
788,What is 18 ÷ 3 + 4 × 2?,14,Order of Operations,medium,multiple_choice,14|6|20|26
789,Evaluate 2³ + 3 × (5 - 2) - 4,13,Order of Operations,hard,algebra,
790,Calculate 4[2 + 3(6 - 4)] - 8,24,Order of Operations All,medium,fill_in_one,
791,What is 5 + 2{3[4 + 2(7 - 5)] - 6}?,17,Order of Operations All,hard,multiple_choice,17|41|11|23
792,Simplify 3{2[5 + 4(3 - 1)] - 7},50,Order of Operations All,hard,algebra,
793,Order from least to greatest: 3/8 1/3 5/12,1/3 3/8 5/12,Ordering Fractions,easy,fill_in_one,
794,Which fraction is largest: 2/5 3/7 or 4/9?,4/9,Ordering Fractions,medium,multiple_choice,4/9|3/7|2/5|They are equal
795,Arrange in descending order: 7/10 2/3 3/4,3/4 7/10 2/3,Ordering Fractions,hard,algebra,
796,Order from smallest to largest: 0 -3 5 -1,-3 -1 0 5,Ordering Integers,easy,fill_in_one,
797,Which integer is smallest: -8 -12 -3 or 0?,-12,Ordering Integers,medium,multiple_choice,-12|-8|-3|0
798,Arrange in ascending order: 15 -20 8 -5 0,-20 -5 0 8 15,Ordering Integers,hard,algebra,
799,Order from least to greatest: 3.45 3.405 3.5 3.04,3.04 3.405 3.45 3.5,Ordering Positive Decimals,medium,fill_in_one,
800,Which is largest: 7.8 7.08 7.80 or 7.808?,7.808,Ordering Positive Decimals,hard,multiple_choice,7.808|7.8|7.80|7.08
801,Arrange in descending order: 0.6 0.06 0.606 0.066,0.606 0.6 0.066 0.06,Ordering Positive Decimals,hard,algebra,
802,Order: √8 3.1 π 22/7,√8 π 3.1 22/7,Ordering Real Numbers,hard,fill_in_one,
